src_ip,dst_ip,protocol,len,src_port,dst_port,flags
163.70.144.60,10.135.157.7,6,84,443,55070,PA
10.135.157.7,163.70.144.60,6,40,55070,443,A
10.135.157.7,157.240.16.52,6,40,55072,443,A
10.135.157.7,57.144.177.32,6,40,55073,443,A
10.135.157.7,57.144.125.32,6,40,55069,443,A
10.135.157.7,157.240.16.52,6,71,55072,443,PA
10.135.157.7,57.144.177.32,6,71,55073,443,PA
157.240.16.52,10.135.157.7,6,84,443,55072,PA
57.144.125.32,10.135.157.7,6,71,443,55069,PA
57.144.177.32,10.135.157.7,6,84,443,55073,PA
10.135.157.7,157.240.16.52,6,40,55072,443,A
10.135.157.7,57.144.125.32,6,40,55069,443,A
10.135.157.7,57.144.177.32,6,40,55073,443,A
10.135.157.7,163.70.144.60,6,71,55070,443,PA
163.70.143.60,10.135.157.7,6,219,443,55071,PA
163.70.144.60,10.135.157.7,6,145,443,55070,PA
163.70.144.60,10.135.157.7,6,71,443,55070,PA
10.135.157.7,163.70.143.60,6,40,55071,443,A
10.135.157.7,163.70.144.60,6,40,55070,443,A
157.240.16.52,10.135.157.7,6,145,443,55072,PA
57.144.177.32,10.135.157.7,6,145,443,55073,PA
10.135.157.7,157.240.16.52,6,40,55072,443,A
10.135.157.7,57.144.177.32,6,40,55073,443,A
57.144.177.32,10.135.157.7,6,71,443,55073,PA
10.135.157.7,57.144.177.32,6,40,55073,443,A
157.240.16.52,10.135.157.7,6,71,443,55072,PA
163.70.143.60,10.135.157.7,6,114,443,55071,PA
163.70.143.60,10.135.157.7,6,84,443,55071,PA
10.135.157.7,157.240.16.52,6,40,55072,443,A
10.135.157.7,163.70.143.60,6,40,55071,443,A
10.135.157.7,163.70.143.60,6,71,55071,443,PA
163.70.143.60,10.135.157.7,6,145,443,55071,PA
163.70.143.60,10.135.157.7,6,71,443,55071,PA
10.135.157.7,163.70.143.60,6,40,55071,443,A
223.196.81.98,10.135.157.7,6,40,443,55066,A
157.240.16.52,10.135.157.7,6,40,443,55068,A
57.144.215.32,10.135.157.7,6,219,443,55067,PA
57.144.215.32,10.135.157.7,6,114,443,55067,PA
10.135.157.7,57.144.215.32,6,40,55067,443,A
10.135.157.7,57.144.215.32,6,71,55067,443,PA
57.144.215.32,10.135.157.7,6,71,443,55067,PA
10.135.157.7,57.144.215.32,6,40,55067,443,A
57.144.215.32,10.135.157.7,6,75,443,55067,PA
57.144.215.32,10.135.157.7,6,145,443,55067,PA
57.144.215.32,10.135.157.7,6,71,443,55067,PA
10.135.157.7,57.144.215.32,6,40,55067,443,A
10.135.157.7,223.196.81.98,6,226,55066,443,PA
57.144.177.32,10.135.157.7,6,40,443,55073,A
57.144.125.32,10.135.157.7,6,40,443,55069,A
157.240.16.52,10.135.157.7,6,40,443,55072,A
163.70.144.60,10.135.157.7,6,40,443,55070,A
163.70.143.60,10.135.157.7,6,40,443,55071,A
223.196.81.98,10.135.157.7,6,40,443,55066,A
223.196.81.98,10.135.157.7,6,75,443,55066,PA
10.135.157.7,223.196.81.98,6,40,55066,443,A
223.196.81.98,10.135.157.7,6,408,443,55066,PA
223.196.81.98,10.135.157.7,6,63,443,55066,A
223.196.81.98,10.135.157.7,6,1420,443,55066,A
10.135.157.7,223.196.81.98,6,40,55066,443,A
223.196.81.98,10.135.157.7,6,604,443,55066,PA
10.135.157.7,223.196.81.98,6,40,55066,443,A
71.18.222.1,10.135.157.7,6,40,443,55065,A
71.18.222.1,10.135.157.7,6,40,443,55065,A
71.18.222.1,10.135.157.7,6,40,443,55065,A
57.144.215.32,10.135.157.7,6,40,443,55067,A
71.18.222.1,10.135.157.7,6,1275,443,55065,PA
10.135.157.7,71.18.222.1,6,40,55065,443,A
10.135.157.7,223.196.81.98,6,40,54514,443,FA
10.135.157.7,71.18.222.1,6,40,55057,443,FA
10.135.157.7,23.206.173.144,6,40,55056,443,FA
10.135.157.7,71.18.222.1,6,40,55055,443,FA
10.135.157.7,23.206.173.144,6,40,55054,443,FA
23.206.173.144,10.135.157.7,6,64,443,55056,PA
10.135.157.7,23.206.173.144,6,40,55056,443,RA
23.206.173.144,10.135.157.7,6,40,443,55056,FA
23.206.173.144,10.135.157.7,6,64,443,55054,PA
10.135.157.7,23.206.173.144,6,40,55054,443,RA
23.206.173.144,10.135.157.7,6,40,443,55054,FA
71.18.222.1,10.135.157.7,6,40,443,55057,FA
71.18.222.1,10.135.157.7,6,40,443,55055,FA
10.135.157.7,71.18.222.1,6,40,55057,443,A
10.135.157.7,71.18.222.1,6,40,55055,443,A
10.135.157.7,71.18.222.1,6,52,55074,443,S
10.135.157.7,71.18.222.1,6,52,55075,443,S
71.18.222.1,10.135.157.7,6,52,443,55074,SA
